"Source:","/home/jal/Documents/OwnTech/1leg/KiCAD_files/Feeder.kicad_sch"
"Date:","mer. 09 févr. 2022 18:22:15"
"Tool:","Eeschema 6.0.1-79c1e3a40b~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","58"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C6, ","1","3.3uF, 400V","C_Polarized","Capacitor_SMD:CP_Elec_10x10","Polarized capacitor",""
"C7, ","1","22nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C8, ","1","1nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C9, ","1","2.2uF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C12, ","1","X7T, 100nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C14, C15, ","2","6.8nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C16, ","1","10uF","C","Capacitor_SMD:C_1210_3225Metric","Unpolarized capacitor",""
"C17, ","1","100uF, 35V","C_Polarized","Capacitor_SMD:CP_Elec_8x10","Polarized capacitor",""
"C18, ","1","C0G, 100pF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C19, C20, ","2","4.7uF","C","Capacitor_SMD:C_1210_3225Metric","Unpolarized capacitor",""
"C21, ","1","680pF","C","Capacitor_SMD:C_1812_4532Metric","Unpolarized capacitor",""
"C22, ","1","10nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"COMP1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"CS1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"D4, ","1","MURA130T3G","D","Diode_SMD:D_SMA","Diode",""
"D5, ","1","9.1V","D_Zener","Diode_SMD:D_SOD-323","Zener diode",""
"D6, ","1","STTH4R02U","D_Schottky","Diode_SMD:D_SMB","Schottky diode",""
"D7, D8, ","2","BAS20HT1G","D","Diode_SMD:D_SOD-323","Diode",""
"GND1, GND2, GND3, GND4, ","4","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"J1, J2, J3, J4, ","4","Conn_01x01","Conn_01x01","Footprints:Pad_terminal","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"MOSD1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"MOSG1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"MOSS1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"NTC1, ","1","100k","Thermistor_NTC","Resistor_SMD:R_0805_2012Metric","Temperature dependent resistor, negative temperature coefficient",""
"Q1, ","1","TK13P25D,RQ","Q_NMOS_GDS","Package_TO_SOT_SMD:TO-252-2","N-MOSFET transistor, gate/drain/source",""
"R4, ","1","27k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R5, ","1","100k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R6, ","1","348K","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R7, ","1","470","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R8, ","1","348k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R9, ","1","240m","R","Resistor_SMD:R_1210_3225Metric","Resistor",""
"R11, ","1","1.4K","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R12, R15, R18, ","3","10k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R13, R17, R20, ","3","10","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R14, ","1","38.3k","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R16, ","1","2.2","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"T1, ","1","PA2467NL","PA2467NL","Footprints:PA2467NL","High Frequency Wire Wound Transformers EP13 Platform",""
"TP1, TP6, ","2","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"U2, ","1","NCP12700","NCP12700","Package_SO:MSOP-10_3x3mm_P0.5mm","",""
"U3, ","1","HMHA2801A ","SFH617A-1X007T","Package_SO:SO-4_4.4x2.3mm_P1.27mm","Optocoupler, Phototransistor Output, 5300 VRMS, VCEO 70V, CTR% 40-80, -55 to +110 degree Celcius, UL, BSI, FIMKO, cUL, 8mm clearence SMD PDIP-4",""
"U4, ","1","TL431MFDT,215","TL431DBZ","Package_TO_SOT_SMD:SOT-23","Shunt Regulator, SOT-23",""
"VIN1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"VOUT1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
"VOUT_GND1, ","1","TestPoint","TestPoint","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","test point",""
