Reference, Value, Footprint, Datasheet, manf#, DNP
"Q1","IPD200N15N3","Package_TO_SOT_SMD:TO-252-2","https://www.infineon.com/dgdl/Infineon-IPD200N15N3%20G-DS-v02_07-EN.pdf?fileId=5546d4624fb7fef2014ff59238932dbf","IPD200N15N3GATMA1",""
"Q2","IPD200N15N3","Package_TO_SOT_SMD:TO-252-2","https://www.infineon.com/dgdl/Infineon-IPD200N15N3%20G-DS-v02_07-EN.pdf?fileId=5546d4624fb7fef2014ff59238932dbf","IPD200N15N3GATMA1",""
"R2","2,2","Resistor_SMD:R_0805_2012Metric","~","CR0805AF/-2R20EAS",""
"R1","2,2","Resistor_SMD:R_0805_2012Metric","~","CR0805AF/-2R20EAS",""
"R32","1k","Resistor_SMD:R_0805_2012Metric","~","RC0805FR-071KL",""
"Rs1","R_Small","Resistor_SMD:R_0805_2012Metric","~","","x"
"Rs2","R_Small","Resistor_SMD:R_0805_2012Metric","~","","x"
"Cs2","C_Small","Capacitor_SMD:C_0805_2012Metric","~","","x"
"Cs1","C_Small","Capacitor_SMD:C_0805_2012Metric","~","","x"
"D_H1","STTH1002CB","Package_TO_SOT_SMD:TO-252-2","https://www.st.com/resource/en/datasheet/stth1002c.pdf","STTH1002CB",""
"D_L1","STTH1002CB","Package_TO_SOT_SMD:TO-252-2","https://www.st.com/resource/en/datasheet/stth1002c.pdf","STTH1002CB",""
"U3","ACS712xLCTR-20A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en","ACS712ELCTR-20A-T",""
"C2","100nF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104",""
"C5","1nF","Capacitor_SMD:C_0805_2012Metric","~","885382207004",""
"D3","STPS0520Z","Diode_SMD:D_SOD-123","https://www.st.com/resource/en/datasheet/stps0520z.pdf","STPS0520Z",""
"D2","STPS0520Z","Diode_SMD:D_SOD-123","https://www.st.com/resource/en/datasheet/stps0520z.pdf","STPS0520Z",""
"C13","4.7uF","Capacitor_SMD:C_1210_3225Metric","","12101C475K4Z2A",""
"C11","100nF","Capacitor_SMD:C_1210_3225Metric","~","1210PC104KAT1A",""
"L2","47uH","Footprints:WE-HCF-2013","https://www.we-online.com/catalog/datasheet/7443634700.pdf","7443634700",""
"C24","100nF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104",""
"C22","1nF","Capacitor_SMD:C_0805_2012Metric","~","885382207004",""
"L1","47uH","Footprints:WE-HCF-2013","https://www.we-online.com/catalog/datasheet/7443634700.pdf","7443634700",""
"R4","0","Resistor_SMD:R_0805_2012Metric","~","RC0805FR-070RL",""
"R3","0","Resistor_SMD:R_0805_2012Metric","~","RC0805FR-070RL",""
"C1","1nF","Capacitor_SMD:C_0805_2012Metric","~","885382207004",""
"U4","ACS730xLCTR-20AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS730-Datasheet.ashx?la=en","ACS730KLCTR-20AB-T",""
"Rv1","150K","Resistor_SMD:R_0805_2012Metric","~","PCF-W0805LF-03-1503-B-P-LT",""
"Rv3","150K","Resistor_SMD:R_0805_2012Metric","~","PCF-W0805LF-03-1503-B-P-LT",""
"Rv4","470","Resistor_SMD:R_0805_2012Metric","~","TNPW0805470RDEEA",""
"Rv2","470","Resistor_SMD:R_0805_2012Metric","~","TNPW0805470RDEEA",""
"Rv6","5.6K","Resistor_SMD:R_0805_2012Metric","","ERA-6AEB562V",""
"Rv5","330K","Resistor_SMD:R_0805_2012Metric","~","RG2012P-334-B-T5",""
"R33","0","Resistor_SMD:R_0805_2012Metric","~","RC0805FR-070RL",""
"R35","1k","Resistor_SMD:R_0805_2012Metric","~","RC0805FR-071KL",""
"C12","100nF","Capacitor_SMD:C_1210_3225Metric","~","1210PC104KAT1A",""
"D4","STPS0520Z","Diode_SMD:D_SOD-123","https://www.st.com/resource/en/datasheet/stps0520z.pdf","STPS0520Z",""
"D_L2","STTH1002CB","Package_TO_SOT_SMD:TO-252-2","https://www.st.com/resource/en/datasheet/stth1002c.pdf","STTH1002CB",""
"D_H2","STTH1002CB","Package_TO_SOT_SMD:TO-252-2","https://www.st.com/resource/en/datasheet/stth1002c.pdf","STTH1002CB",""
"Cs3","C_Small","Capacitor_SMD:C_0805_2012Metric","~","","x"
"Cs4","C_Small","Capacitor_SMD:C_0805_2012Metric","~","","x"
"Rs4","R_Small","Resistor_SMD:R_0805_2012Metric","~","","x"
"Rs3","R_Small","Resistor_SMD:R_0805_2012Metric","~","","x"
"R5","2,2","Resistor_SMD:R_0805_2012Metric","~","CR0805AF/-2R20EAS",""
"Q5","IPD200N15N3","Package_TO_SOT_SMD:TO-252-2","https://www.infineon.com/dgdl/Infineon-IPD200N15N3%20G-DS-v02_07-EN.pdf?fileId=5546d4624fb7fef2014ff59238932dbf","IPD200N15N3GATMA1",""
"Q4","IPD200N15N3","Package_TO_SOT_SMD:TO-252-2","https://www.infineon.com/dgdl/Infineon-IPD200N15N3%20G-DS-v02_07-EN.pdf?fileId=5546d4624fb7fef2014ff59238932dbf","IPD200N15N3GATMA1",""
"J1","2604-1102","Footprints:WAGO-2604-1102","https://www.wago.com/fr/connexion-de-circuits-imprim%C3%A9s/borne-pour-circuits-imprim%C3%A9s/p/2604-1102","2604-1102",""
"J4","2604-1102","Footprints:WAGO-2604-1102","https://www.wago.com/fr/connexion-de-circuits-imprim%C3%A9s/borne-pour-circuits-imprim%C3%A9s/p/2604-1102","2604-1102",""
"Rbleed1","1M","Resistor_SMD:R_0805_2012Metric","~","CMP0805-FX-1004ELF",""
"Rbleed2","1M","Resistor_SMD:R_0805_2012Metric","~","CMP0805-FX-1004ELF",""
"R6","2,2","Resistor_SMD:R_0805_2012Metric","~","CR0805AF/-2R20EAS",""
"R36","1k","Resistor_SMD:R_0805_2012Metric","~","RC0805FR-071KL",""
"D5","STPS0520Z","Diode_SMD:D_SOD-123","https://www.st.com/resource/en/datasheet/stps0520z.pdf","STPS0520Z",""
"R34","0","Resistor_SMD:R_0805_2012Metric","~","RC0805FR-070RL",""
"C15","4.7uF","Capacitor_SMD:C_1210_3225Metric","","12101C475K4Z2A",""
"C17","4.7uF","Capacitor_SMD:C_1210_3225Metric","","12101C475K4Z2A",""
"C19","4.7uF","Capacitor_SMD:C_1210_3225Metric","","12101C475K4Z2A",""
"C21","4.7uF","Capacitor_SMD:C_1210_3225Metric","","12101C475K4Z2A",""
"C25","4.7uF","Capacitor_SMD:C_1210_3225Metric","","12101C475K4Z2A",""
"C14","4.7uF","Capacitor_SMD:C_1210_3225Metric","","12101C475K4Z2A",""
"C16","4.7uF","Capacitor_SMD:C_1210_3225Metric","","12101C475K4Z2A",""
