Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C4 C7 C8 C10 ,6,"33pF","Capacitor_SMD:C_0805_2012Metric","~"
C5 C11 ,2,"10nF","Capacitor_SMD:C_0805_2012Metric","~"
CBoot1 CBoot3 ,2,"1uF","Capacitor_SMD:C_0805_2012Metric","~"
C_VDDB1 C3 C6 C_VDDB3 C9 C12 CBoot4 CBoot2 ,8,"100nF","Capacitor_SMD:C_0805_2012Metric","~"
C_VDDB2 C_VDDB4 ,2,"10uF","Capacitor_SMD:C_1210_3225Metric","~"
D_boot1 D_boot2 ,2,"STTH4R02U","Diode_SMD:D_SMB","https://www.st.com/resource/en/datasheet/stth4r02.pdf"
J1 ,1,"Driver_stage_outline_outputs","Footprints:Driver_stage_outline_outputs",""
J2 ,1,"Driver_stage_outline_inputs","Footprints:Driver_stage_outline_inputs",""
R1 R2 R4 R6 R7 ,5,"51","Resistor_SMD:R_0805_2012Metric","~"
R5 ,1,"1k","Resistor_SMD:R_0805_2012Metric","~"
R8 R3 ,2,"20k","Resistor_SMD:R_0805_2012Metric","~"
RBoot1 RBoot2 ,2,"2.2","Resistor_SMD:R_0805_2012Metric","~"
U12 ,1,"SFH617A-2X009T","Package_DIP:DIP-4_W7.62mm_SMDSocket_SmallPads","http://www.vishay.com/docs/83740/sfh617a.pdf"
U3 U4 ,2,"UCC21222DR","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ucc21222.pdf"
