Reference, Quantity, Value, Footprint, Datasheet
C11 C12 ,2,"100nF","Capacitor_SMD:C_1210_3225Metric","~"
C13 C15 C17 C19 C21 C25 C14 C16 C18 C20 C23 C26 C7 C9 C6 C8 C10 C3 ,18,"4.7uF","Capacitor_SMD:C_1210_3225Metric","https://www.mouser.fr/datasheet/2/40/X7RDielectric-777024.pdf"
C2 C4 C24 ,3,"100nF","Capacitor_SMD:C_0805_2012Metric","~"
C5 C22 C1 ,3,"1nF","Capacitor_SMD:C_0805_2012Metric","~"
C_2snub1 C_1snub1 C_1snub2 C_2snub2 ,4,"C_Small","Capacitor_SMD:C_0805_2012Metric","~"
D3 D2 D4 D5 ,4,"STPS0520Z","Diode_SMD:D_SOD-123","https://www.st.com/resource/en/datasheet/stps0520z.pdf"
D_H1 D_L1 D_L2 D_H2 ,4,"STTH1002C","Package_TO_SOT_SMD:TO-252-2","https://www.st.com/resource/en/datasheet/stth1002c.pdf"
F1 F2 F4 F3 ,4,"Polyfuse RKEF500","Footprints:RKEF500","https://www.littelfuse.com/~/media/electronics/product_specifications/resettable_ptcs/littelfuse_ptc_rkef500_product_specification.pdf.pdf"
J1 J2 J5 J4 ,4,"2604-1102","Footprints:WAGO-2604-1102",""
J3 ,1,"Power_Board_outline","Footprints:Board_outline",""
L2 L1 ,2,"47uH","Footprints:WE-HCF-2013","https://www.we-online.com/catalog/datasheet/7443634700.pdf"
Q1 Q2 Q5 Q4 ,4,"IRFR4615","Package_TO_SOT_SMD:TO-252-2","https://www.infineon.com/dgdl/irfr4615pbf.pdf?fileId=5546d462533600a40153563231ce20f4"
Q3 ,1,"FGD3040G2-F085","Package_TO_SOT_SMD:TO-252-2","https://www.onsemi.com/pub/Collateral/FGI3040G2_F085-D.PDF"
R_1snub1 R_2snub1 R_2snub2 R_1snub2 ,4,"R_Small","Resistor_SMD:R_0805_2012Metric","~"
R_GH4 R_GH3 R_GH5 R_GH6 ,4,"0","Resistor_SMD:R_0805_2012Metric","~"
R_GL1 R_GH1 R_GH2 R_GL2 ,4,"2,2","Resistor_SMD:R_0805_2012Metric","~"
R_pdL1 R_pdH2 R_pdL2 R_pdH1 ,4,"1k","Resistor_SMD:R_0805_2012Metric","~"
Rbleed1 Rbleed2 ,2,"1M","Resistor_SMD:R_0805_2012Metric","~"
Rv1 Rv3 ,2,"150K","Resistor_SMD:R_0805_2012Metric","~"
Rv4 Rv2 ,2,"470","Resistor_SMD:R_0805_2012Metric","~"
Rv5 ,1,"330K","Resistor_SMD:R_0805_2012Metric","~"
Rv6 ,1,"5.6K","Resistor_SMD:R_0805_2012Metric","~"
U2 ,1,"LM35-LP","Package_TO_SOT_THT:TO-92","http://www.ti.com/lit/ds/symlink/lm35.pdf"
U3 ,1,"ACS712xLCTR-20A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS712-Datasheet.ashx?la=en"
U4 U1 ,2,"ACS730xLCTR-20AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/media/Files/Datasheets/ACS730-Datasheet.ashx?la=en"
